onset	duration	trial_type	InstructionToButtonTime	InstructionToToneTime	modulation
-37.85	0.0	Unknown2	n/a	n/a	1
-37.85	0.0	Unknown2	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	1
1.0300000000000011	0.0	FixationCross	n/a	n/a	1
6.030000000000001	0.5	Audio	n/a	n/a	1
6.030000000000001	3.4199999999999946	Agency	3.4199999999999946	4.089999999999996	0.03265657119585588
6.030000000000001	0.5	AudioYouCanChoose	n/a	n/a	1
6.030000000000001	0.5	AudioInstruction	3.4199999999999946	4.089999999999996	1
8.57	0.0	Map1	n/a	n/a	1
9.449999999999996	0.0	Button	n/a	n/a	1
9.449999999999996	0.0	AgentNoShock	n/a	n/a	1
9.919999999999998	1.5	WitnessNoShock	n/a	n/a	1
10.119999999999997	0.2	AudioTone	n/a	n/a	1
10.119999999999997	0.2	AudioTone	n/a	n/a	1
10.119999999999997	0.2	Audio	n/a	n/a	1
10.129999999999997	9.160000000000002	RatingScale	n/a	n/a	1
19.409999999999997	0.0	FixationCross	n/a	n/a	1
20.659999999999997	0.0	FixationCross	n/a	n/a	1
23.86	0.5	Audio	n/a	n/a	1
23.86	0.5	AudioYouCanChoose	n/a	n/a	1
23.86	0.5	AudioInstruction	3.4100000000000037	3.979999999999997	1
23.86	3.4100000000000037	Agency	3.4100000000000037	3.979999999999997	-0.3227823287103137
26.389999999999993	0.0	Map1	n/a	n/a	1
27.270000000000003	0.0	Button	n/a	n/a	1
27.270000000000003	0.0	AgentNoShock	n/a	n/a	1
27.639999999999997	1.5	WitnessNoShock	n/a	n/a	1
27.839999999999996	0.2	AudioTone	n/a	n/a	1
27.839999999999996	0.0	LogNoShock	n/a	n/a	1
27.839999999999996	0.2	Audio	n/a	n/a	1
27.849999999999998	10.05	RatingScale	n/a	n/a	1
38.01	0.0	FixationCross	n/a	n/a	1
39.330000000000005	0.0	FixationCross	n/a	n/a	1
40.73	3.5799999999999983	Agency	3.5799999999999983	4.450000000000003	-0.2391496463794597
40.73	0.5	Audio	n/a	n/a	1
40.73	0.5	AudioYouCanChoose	n/a	n/a	1
40.73	0.5	AudioInstruction	3.5799999999999983	4.450000000000003	1
43.26	0.0	Map2	n/a	n/a	1
44.10999999999999	1.5	WitnessNoShock	n/a	n/a	1
44.309999999999995	0.0	AgentNoShock	n/a	n/a	1
45.18	0.2	Audio	n/a	n/a	1
45.18	0.2	AudioTone	n/a	n/a	1
45.18	0.2	AudioTone	n/a	n/a	1
45.18	0.0	LogNoShock	n/a	n/a	1
45.19	10.050000000000004	RatingScale	n/a	n/a	1
55.35	0.0	FixationCross	n/a	n/a	1
56.79	0.0	FixationCross	n/a	n/a	1
62.38999999999999	0.5	Audio	n/a	n/a	1
62.38999999999999	0.5	AudioInstruction	4.080000000000005	4.93	1
62.38999999999999	0.5	AudioYouCanChoose	n/a	n/a	1
62.38999999999999	4.080000000000005	Agency	4.080000000000005	4.93	1.6216775354824147
64.91999999999999	0.0	Map2	n/a	n/a	1
66.27	1.5	WitnessShock	n/a	n/a	1
66.47	0.0	AgentShock	n/a	n/a	1
67.32	0.2	AudioTone	n/a	n/a	1
67.32	0.2	Audio	n/a	n/a	1
67.32	0.2	AudioTone	n/a	n/a	1
67.32	0.0	LogShock	n/a	n/a	1
67.33	10.059999999999988	RatingScale	n/a	n/a	1
77.5	0.0	FixationCross	n/a	n/a	1
78.63	0.0	FixationCross	n/a	n/a	1
85.43	3.2399999999999807	Agency	3.2399999999999807	3.509999999999991	-0.07487116322958941
85.43	0.5	Audio	n/a	n/a	1
85.43	0.5	AudioYouCanChoose	n/a	n/a	1
85.43	0.5	AudioInstruction	3.2399999999999807	3.509999999999991	1
87.96000000000001	0.0	Map2	n/a	n/a	1
88.46999999999998	1.5	WitnessNoShock	n/a	n/a	1
88.66999999999999	0.0	AgentNoShock	n/a	n/a	1
88.94	0.2	Audio	n/a	n/a	1
88.94	0.2	AudioTone	n/a	n/a	1
88.94	0.2	AudioTone	n/a	n/a	1
88.94	0.0	LogNoShock	n/a	n/a	1
